text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
AID,AID,AID John Allelo,AID,John Allelo,,John,,Allelo,,John,John Allelo
CLO,CLO,CLO Vacant,CLO,Vacant,,Vacant,,,,Vacant,Vacant 
ECON,ECON,ECON Benjamin Burnes,ECON,Benjamin Burnes,,Benjamin,,Burnes,,Benjamin,Benjamin Burnes
EEO,EEO,EEO Alexis Haftvani,EEO,Alexis Haftvani,,Alexis,,Haftvani,,Alexis,Alexis Haftvani
FMO,FMO,FMO Robert Meister,FMO,Robert Meister,,Robert,,Meister,,Robert,Robert Meister
IMO,IMO,IMO Michelle Judy,IMO,Michelle Judy,,Michelle,,Judy,,Michelle,Michelle Judy
IPO,IPO,IPO Sherman Singh,IPO,Sherman Singh,,Sherman,,Singh,,Sherman,Sherman Singh
ISO,ISO,ISO Jannah Mandwee,ISO,Jannah Mandwee,,Jannah,,Mandwee,,Jannah,Jannah Mandwee
ISSO,ISSO,ISSO Vacant,ISSO,Vacant,,Vacant,,,,Vacant,Vacant 
DCM OMS,DCM OMS,DCM OMS Lisa Cantonwine,DCM OMS,Lisa Cantonwine,,Lisa,,Cantonwine,,Lisa,Lisa Cantonwine
AMB OMS,AMB OMS,AMB OMS Bonnie Angelov,AMB OMS,Bonnie Angelov,,Bonnie,,Angelov,,Bonnie,Bonnie Angelov
ECON DEP,ECON DEP,ECON DEP Craig Halbmaier,ECON DEP,Craig Halbmaier,,Craig,,Halbmaier,,Craig,Craig Halbmaier
FM,FM,FM Johnny Shields,FM,Johnny Shields,,Johnny,,Shields,,Johnny,Johnny Shields
HRO,HRO,HRO Heather Grant,HRO,Heather Grant,,Heather,,Grant,,Heather,Heather Grant
LEGAT,LEGAT,LEGAT Nitiana Mann,LEGAT,Nitiana Mann,,Nitiana,,Mann,,Nitiana,Nitiana Mann
MGT,MGT,MGT David LaMontagne,MGT,David LaMontagne,,David,,LaMontagne,,David,David LaMontagne
COL Christopher Ingleton,COL Christopher Ingleton,COL Christopher Ingleton,COL,Christopher Ingleton,,Christopher,,Ingleton,,Christopher,Christopher Ingleton
POL DEP,POL DEP,POL DEP Bibi Voyles,POL DEP,Bibi Voyles,,Bibi,,Voyles,,Bibi,Bibi Voyles
POSHO,POSHO,POSHO Johnny Shields,POSHO,Johnny Shields,,Johnny,,Shields,,Johnny,Johnny Shields
COL Scott Weston,COL Scott Weston,COL Scott Weston,COL,Scott Weston,,Scott,,Weston,,Scott,Scott Weston
AMB,AMB,AMB Caroline Kennedy,AMB,Caroline Kennedy,,Caroline,,Kennedy,,Caroline,Caroline Kennedy
DCM,DCM,DCM Michael Goldman,DCM,Michael Goldman,,Michael,,Goldman,,Michael,Michael Goldman
PAO,PAO,PAO Jeffrey Anderson,PAO,Jeffrey Anderson,,Jeffrey,,Anderson,,Jeffrey,Jeffrey Anderson
GSO,GSO,GSO Ryan Ruta,GSO,Ryan Ruta,,Ryan,,Ruta,,Ryan,Ryan Ruta
RSO,RSO,RSO Christopher Gillis,RSO,Christopher Gillis,,Christopher,,Gillis,,Christopher,Christopher Gillis
AFSA,AFSA,AFSA Miriam M Yaqub,AFSA,Miriam M Yaqub,,Miriam,M,Yaqub,,Miriam,Miriam Yaqub
AGR,AGR,AGR Levin Flake,AGR,Levin Flake,,Levin,,Flake,,Levin,Levin Flake
CLO,CLO,CLO Chirsty Peterson,CLO,Chirsty Peterson,,Chirsty,,Peterson,,Chirsty,Chirsty Peterson
DEA,DEA,DEA Kevin Merkel,DEA,Kevin Merkel,,Kevin,,Merkel,,Kevin,Kevin Merkel
EST,EST,EST Natalia Arenas,EST,Natalia Arenas,,Natalia,,Arenas,,Natalia,Natalia Arenas
FMO,FMO,FMO Tyrone Campbell,FMO,Tyrone Campbell,,Tyrone,,Campbell,,Tyrone,Tyrone Campbell
LTC Troy Saechao,LTC Troy Saechao,LTC Troy Saechao,LTC,Troy Saechao,,Troy,,Saechao,,Troy,Troy Saechao
IMO,IMO,IMO Wendell Bullington,IMO,Wendell Bullington,,Wendell,,Bullington,,Wendell,Wendell Bullington
IPO,IPO,IPO Brett Raudenbush,IPO,Brett Raudenbush,,Brett,,Raudenbush,,Brett,Brett Raudenbush
IRS,IRS,IRS Bryant Brooks,IRS,Bryant Brooks,,Bryant,,Brooks,,Bryant,Bryant Brooks
ISO,ISO,ISO Nathan Holder,ISO,Nathan Holder,,Nathan,,Holder,,Nathan,Nathan Holder
CG OMS,CG OMS,CG OMS Jennifer Khov,CG OMS,Jennifer Khov,,Jennifer,,Khov,,Jennifer,Jennifer Khov
MGT,MGT,MGT Jackson Bloom,MGT,Jackson Bloom,,Jackson,,Bloom,,Jackson,Jackson Bloom
POSHO,POSHO,POSHO Jackson Bloom,POSHO,Jackson Bloom,,Jackson,,Bloom,,Jackson,Jackson Bloom
CG,CG,CG Michael Kleine,CG,Michael Kleine,,Michael,,Kleine,,Michael,Michael Kleine
UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED CON,UNCLASSIFIED,CON,,CON,,,,CON,CON 
CON,CON,CON Jeff Shelstad,CON,Jeff Shelstad,,Jeff,,Shelstad,,Jeff,Jeff Shelstad
IPO,IPO,IPO Mark Raglin,IPO,Mark Raglin,,Mark,,Raglin,,Mark,Mark Raglin
ISSO,ISSO,ISSO Mark Raglin,ISSO,Mark Raglin,,Mark,,Raglin,,Mark,Mark Raglin
CG,CG,CG Siriana Nair,CG,Siriana Nair,,Siriana,,Nair,,Siriana,Siriana Nair
CON,CON,CON Matthew Hafner,CON,Matthew Hafner,,Matthew,,Hafner,,Matthew,Matthew Hafner
PAO,PAO,PAO Elena Augustine,PAO,Elena Augustine,,Elena,,Augustine,,Elena,Elena Augustine
ACS,ACS,ACS Allyson Cornish,ACS,Allyson Cornish,,Allyson,,Cornish,,Allyson,Allyson Cornish
CG OMS,CG OMS,CG OMS Eileen Farao,CG OMS,Eileen Farao,,Eileen,,Farao,,Eileen,Eileen Farao
FCS,FCS,FCS Mark Russell,FCS,Mark Russell,,Mark,,Russell,,Mark,Mark Russell
LEGAT,LEGAT,LEGAT Dean Chappell,LEGAT,Dean Chappell,,Dean,,Chappell,,Dean,Dean Chappell
MGT,MGT,MGT Christina Lim,MGT,Christina Lim,,Christina,,Lim,,Christina,Christina Lim
POSHO,POSHO,POSHO Brandon Nugent,POSHO,Brandon Nugent,,Brandon,,Nugent,,Brandon,Brandon Nugent
CG,CG,CG Christine Elder,CG,Christine Elder,,Christine,,Elder,,Christine,Christine Elder
CON,CON,CON Neal Vermillion,CON,Neal Vermillion,,Neal,,Vermillion,,Neal,Neal Vermillion
PAO,PAO,PAO Adelle Gillen,PAO,Adelle Gillen,,Adelle,,Gillen,,Adelle,Adelle Gillen
GSO,GSO,GSO Brandon Nugent,GSO,Brandon Nugent,,Brandon,,Nugent,,Brandon,Brandon Nugent
RSO,RSO,RSO Andy Loftus,RSO,Andy Loftus,,Andy,,Loftus,,Andy,Andy Loftus
AFSA,AFSA,AFSA Brandon Nugent,AFSA,Brandon Nugent,,Brandon,,Nugent,,Brandon,Brandon Nugent
CLO,CLO,CLO Devon Whitney,CLO,Devon Whitney,,Devon,,Whitney,,Devon,Devon Whitney
DEA,DEA,DEA Eric Baldus,DEA,Eric Baldus,,Eric,,Baldus,,Eric,Eric Baldus
IPO,IPO,IPO Leah Tillett,IPO,Leah Tillett,,Leah,,Tillett,,Leah,Leah Tillett
IRS,IRS,IRS Todd Wacaser,IRS,Todd Wacaser,,Todd,,Wacaser,,Todd,Todd Wacaser
ISSO,ISSO,ISSO Daniel Karr,ISSO,Daniel Karr,,Daniel,,Karr,,Daniel,Daniel Karr
DCM OMS,DCM OMS,DCM OMS Kim Loewecke,DCM OMS,Kim Loewecke,,Kim,,Loewecke,,Kim,Kim Loewecke
AMB OMS,AMB OMS,AMB OMS Amy Rombot,AMB OMS,Amy Rombot,,Amy,,Rombot,,Amy,Amy Rombot
FCS,FCS,FCS Julia Rauner,FCS,Julia Rauner,,Julia,,Rauner,,Julia,Julia Rauner
HRO,HRO,HRO Anita Brown,HRO,Anita Brown,,Anita,,Brown,,Anita,Anita Brown
LEGAT,LEGAT,LEGAT Ryan Noonan,LEGAT,Ryan Noonan,,Ryan,,Noonan,,Ryan,Ryan Noonan
MGT,MGT,MGT Tim Hanway,MGT,Tim Hanway,,Tim,,Hanway,,Tim,Tim Hanway
LTC Greg Cromwell,LTC Greg Cromwell,LTC Greg Cromwell,LTC,Greg Cromwell,,Greg,,Cromwell,,Greg,Greg Cromwell
COL Erik Bauer,COL Erik Bauer,COL Erik Bauer,COL,Erik Bauer,,Erik,,Bauer,,Erik,Erik Bauer
AMB,AMB,AMB Victoria Kennedy,AMB,Victoria Kennedy,,Victoria,,Kennedy,,Victoria,Victoria Kennedy
CG,CG,CG DCM,CG,DCM,,DCM,,,,DCM,DCM 
DCM,DCM,DCM Mario Mesquita,DCM,Mario Mesquita,,Mario,,Mesquita,,Mario,Mario Mesquita
PAO,PAO,PAO Teta Moehs,PAO,Teta Moehs,,Teta,,Moehs,,Teta,Teta Moehs
GSO,GSO,GSO Peter Schroeder,GSO,Peter Schroeder,,Peter,,Schroeder,,Peter,Peter Schroeder
APHIS,APHIS,APHIS Karen Sliter,APHIS,Karen Sliter,,Karen,,Sliter,,Karen,Karen Sliter
CLO,CLO,CLO Xenia Jones,CLO,Xenia Jones,,Xenia,,Jones,,Xenia,Xenia Jones
DEA,DEA,DEA Jim Scott,DEA,Jim Scott,,Jim,,Scott,,Jim,Jim Scott
ECON,ECON,ECON Amy Dove,ECON,Amy Dove,,Amy,,Dove,,Amy,Amy Dove
FMO,FMO,FMO Donna Edmonds,FMO,Donna Edmonds,,Donna,,Edmonds,,Donna,Donna Edmonds
IMO,IMO,IMO Candace Cotton,IMO,Candace Cotton,,Candace,,Cotton,,Candace,Candace Cotton
IRS,IRS,IRS Thomas E.,IRS,Thomas E.,,Thomas,,E.,,Thomas,Thomas E.
ISSO,ISSO,ISSO Ric Mangus,ISSO,Ric Mangus,,Ric,,Mangus,,Ric,Ric Mangus
POL,POL,POL Morgan Hall,POL,Morgan Hall,,Morgan,,Hall,,Morgan,Morgan Hall
DCM OMS,DCM OMS,DCM OMS Shaun B. Geary,DCM OMS,Shaun B. Geary,,Shaun,B.,Geary,,Shaun,Shaun Geary
AMB OMS,AMB OMS,AMB OMS Stela Sears,AMB OMS,Stela Sears,,Stela,,Sears,,Stela,Stela Sears
FM,FM,FM Daniel Hess,FM,Daniel Hess,,Daniel,,Hess,,Daniel,Daniel Hess
AMB,AMB,AMB Michael R. Carpenter,AMB,Michael R. Carpenter,,Michael,R.,Carpenter,,Michael,Michael Carpenter
DCM,DCM,DCM PAO,DCM,PAO,,PAO,,,,PAO,PAO 
RSO,RSO,RSO Brendan Murray,RSO,Brendan Murray,,Brendan,,Murray,,Brendan,Brendan Murray
ISSO,ISSO,ISSO Richard Mangus,ISSO,Richard Mangus,,Richard,,Mangus,,Richard,Richard Mangus
AMB OMS,AMB OMS,AMB OMS Renee MacEwen,AMB OMS,Renee MacEwen,,Renee,,MacEwen,,Renee,Renee MacEwen
FM,FM,FM David Bodycost,FM,David Bodycost,,David,,Bodycost,,David,David Bodycost
HRO,HRO,HRO Emmy Kang Michael,HRO,Emmy Kang Michael,,Emmy,Kang,Michael,,Emmy,Emmy Michael
AMB,AMB,AMB Laura Holgate,AMB,Laura Holgate,,Laura,,Holgate,,Laura,Laura Holgate
DCM,DCM,DCM Lou Bono,DCM,Lou Bono,,Lou,,Bono,,Lou,Lou Bono
PAO,PAO,PAO Amy Steinmann,PAO,Amy Steinmann,,Amy,,Steinmann,,Amy,Amy Steinmann
RSO,RSO,RSO Jeff Crone,RSO,Jeff Crone,,Jeff,,Crone,,Jeff,Jeff Crone
CLO,CLO,CLO Catherine Rasmussen,CLO,Catherine Rasmussen,,Catherine,,Rasmussen,,Catherine,Catherine Rasmussen
UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED DCM OMS,UNCLASSIFIED DCM,OMS,,OMS,,,,OMS,OMS 
DCM OMS,DCM OMS,DCM OMS Sarah McConnell,DCM OMS,Sarah McConnell,,Sarah,,McConnell,,Sarah,Sarah McConnell
FM,FM,FM HRO,FM,HRO,,HRO,,,,HRO,HRO 
HRO,HRO,HRO George Schaal,HRO,George Schaal,,George,,Schaal,,George,George Schaal
MGT,MGT,MGT Andrew Berdy,MGT,Andrew Berdy,,Andrew,,Berdy,,Andrew,Andrew Berdy
COL Kyle Cone,COL Kyle Cone,COL Kyle Cone,COL,Kyle Cone,,Kyle,,Cone,,Kyle,Kyle Cone
CON,CON,CON Carina Canaan,CON,Carina Canaan,,Carina,,Canaan,,Carina,Carina Canaan
PAO,PAO,PAO Geoffrey Anisman,PAO,Geoffrey Anisman,,Geoffrey,,Anisman,,Geoffrey,Geoffrey Anisman
GSO,GSO,GSO Naomi Anisman,GSO,Naomi Anisman,,Naomi,,Anisman,,Naomi,Naomi Anisman
AID,AID,AID Michael Nehrbass,AID,Michael Nehrbass,,Michael,,Nehrbass,,Michael,Michael Nehrbass
CLO,CLO,CLO Randi Robles,CLO,Randi Robles,,Randi,,Robles,,Randi,Randi Robles
ECON,ECON,ECON Andrew Lebkuecher,ECON,Andrew Lebkuecher,,Andrew,,Lebkuecher,,Andrew,Andrew Lebkuecher
FMO,FMO,FMO Vanja Vukota,FMO,Vanja Vukota,,Vanja,,Vukota,,Vanja,Vanja Vukota
IMO,IMO,IMO Michael Quinlan,IMO,Michael Quinlan,,Michael,,Quinlan,,Michael,Michael Quinlan
IPO,IPO,IPO Jason Truax,IPO,Jason Truax,,Jason,,Truax,,Jason,Jason Truax
ISSO,ISSO,ISSO Michael Quinlan,ISSO,Michael Quinlan,,Michael,,Quinlan,,Michael,Michael Quinlan
POL,POL,POL Mihail Seroka,POL,Mihail Seroka,,Mihail,,Seroka,,Mihail,Mihail Seroka
DCM OMS,DCM OMS,DCM OMS Abigail E. Erickson,DCM OMS,Abigail E. Erickson,,Abigail,E.,Erickson,,Abigail,Abigail Erickson
HRO,HRO,HRO Tabrese Venson,HRO,Tabrese Venson,,Tabrese,,Venson,,Tabrese,Tabrese Venson
INL,INL,INL Bridget Premont,INL,Bridget Premont,,Bridget,,Premont,,Bridget,Bridget Premont
LEGAT,LEGAT,LEGAT Jackson Purkey,LEGAT,Jackson Purkey,,Jackson,,Purkey,,Jackson,Jackson Purkey
MGT,MGT,MGT Michael Greer,MGT,Michael Greer,,Michael,,Greer,,Michael,Michael Greer
CAPT Gregg Gellman,CAPT Gregg Gellman,CAPT Gregg Gellman,CAPT,Gregg Gellman,,Gregg,,Gellman,,Gregg,Gregg Gellman
POSHO,POSHO,POSHO Brad Fribley,POSHO,Brad Fribley,,Brad,,Fribley,,Brad,Brad Fribley
AMB,AMB,AMB Vacant,AMB,Vacant,,Vacant,,,,Vacant,Vacant 
CON,CON,CON Lance Posey,CON,Lance Posey,,Lance,,Posey,,Lance,Lance Posey
PAO,PAO,PAO Daniel Durazo,PAO,Daniel Durazo,,Daniel,,Durazo,,Daniel,Daniel Durazo
